origin,destination,distance_km,duration_mins,,League
Llay Welfare,Y Felinheli,100.19,71.58,62.25516049,North West
Mold Alexandra,Y Felinheli,87.5,62.6,54.3699625,North West
Rhostyllen,Y Felinheli,113.76,80.97,70.68716496,North West
Rhydymwyn,Y Felinheli,84.62,62.5,52.58041402,North West
Saltney Town,Y Felinheli,97.4,68.77,60.5215354,North West
St Asaph City,Y Felinheli,57.97,41.27,36.02087687,North West
Y Felinheli,Y Felinheli,NA,NA,NA,North West
Cefn Albion,Cefn Albion,NA,NA,NA,North East
Chirk AAA,Cefn Albion,9.05,12.48,5.62340755,North East
Four Crosses,Cefn Albion,42.85,77.95,26.62574735,North East
Machynlleth,Cefn Albion,94.15,94.37,58.50207965,North East
Montgomery Town,Cefn Albion,68.58,101.28,42.61362318,North East
Penycae,Cefn Albion,3.84,9.08,2.38606464,North East
Rhos Aelwyd,Cefn Albion,5.43,13.67,3.37404453,North East
Welshpool Town,Cefn Albion,54.64,86.8,33.95171144,North East
Brickfield Rangers,Cefn Albion,10.92,12.08,6.78537132,North East
Brymbo,Cefn Albion,12.36,14.83,7.68014556,North East
Llanuwchllyn,Cefn Albion,52.55,56.97,32.65304605,North East
Llay Welfare,Cefn Albion,18.08,22.57,11.23438768,North East
Mold Alexandra,Cefn Albion,28.46,40.18,17.68421866,North East
Rhostyllen,Cefn Albion,8.6,11.17,5.3437906,North East
Rhydymwyn,Cefn Albion,32.64,47.37,20.28154944,North East
Saltney Town,Cefn Albion,30.7,40.97,19.0760897,North East
Cefn Albion,Chirk AAA,6.28,13.12,3.90220988,North East
Chirk AAA,Chirk AAA,NA,NA,NA,North East
Four Crosses,Chirk AAA,40.99,70.2,25.46999729,North East
Machynlleth,Chirk AAA,95.06,90.78,59.06752726,North East
Montgomery Town,Chirk AAA,66.73,93.53,41.46408683,North East
Penycae,Chirk AAA,10.3,15.63,6.4001213,North East
Rhos Aelwyd,Chirk AAA,11.75,15.42,7.30110925,North East
Welshpool Town,Chirk AAA,52.78,79.05,32.79596138,North East
Brickfield Rangers,Chirk AAA,15,13.17,9.320565,North East
Brymbo,Chirk AAA,16.44,15.92,10.21533924,North East
Llanuwchllyn,Chirk AAA,53.46,53.38,33.21849366,North East
Llay Welfare,Chirk AAA,22.16,23.65,13.76958136,North East
Mold Alexandra,Chirk AAA,32.54,41.27,20.21941234,North East
Rhostyllen,Chirk AAA,12.68,12.25,7.87898428,North East
Rhydymwyn,Chirk AAA,36.72,48.45,22.81674312,North East
